,0
1/22/20,1
1/23/20,1
1/24/20,2
1/25/20,2
1/26/20,5
1/27/20,5
1/28/20,5
1/29/20,5
1/30/20,5
1/31/20,7
2/1/20,8
2/2/20,8
2/3/20,11
2/4/20,11
2/5/20,11
2/6/20,11
2/7/20,11
2/8/20,11
2/9/20,11
2/10/20,11
2/11/20,12
2/12/20,12
2/13/20,13
2/14/20,13
2/15/20,13
2/16/20,13
2/17/20,13
2/18/20,13
2/19/20,13
2/20/20,13
2/21/20,15
2/22/20,15
2/23/20,15
2/24/20,15
2/25/20,15
2/26/20,15
2/27/20,16
2/28/20,16
2/29/20,24
3/1/20,30
3/2/20,53
3/3/20,73
3/4/20,104
3/5/20,172
3/6/20,217
3/7/20,336
3/8/20,450
3/9/20,514
3/10/20,708
3/11/20,1105
3/12/20,1557
3/13/20,2147
3/14/20,2857
3/15/20,2918
3/16/20,4298
3/17/20,6086
3/18/20,8861
3/19/20,14074
3/20/20,19372
3/21/20,25683
3/22/20,33578
3/23/20,43596
3/24/20,53648
3/25/20,65673
3/26/20,83710
3/27/20,101508
3/28/20,121288
3/29/20,140703
3/30/20,161569
3/31/20,187832
4/1/20,212973
4/2/20,243328
4/3/20,275141
4/4/20,308260
4/5/20,336435
4/6/20,365990
4/7/20,396760
4/8/20,428255
4/9/20,461913
4/10/20,495619
4/11/20,525413
4/12/20,554221
4/13/20,579521
4/14/20,606552
4/15/20,635177
4/16/20,666350
4/17/20,698438
4/18/20,730876
4/19/20,757670
